file,Playing bitrate _audio,Playing bitrate _video,Playing/Buffering vmaf,Buffering bitrate _audio,Buffering bitrate _video,Buffer size in Bytes _audio,Buffer size in Bytes _video,Buffer size in Bytes,Buffer size in Seconds _audio,Buffer size in Seconds _video,Framerate,Current Dropped Frames,Total Frames,Total Dropped Frames,Total Corrupted Frames,Total Frame Delay,Throughput
./Netflix_Screen_Capture\2021-03-21_15-30-22.832.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 620996301, 626873489,238.572 , 237.721, 23.976, 0, 12599, 1, 0, 414, 24314 kbps
./Netflix_Screen_Capture\2021-03-21_15-30-32.808.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 624325793, 630594377,245.192 , 236.057, 23.976, 0, 12816, 1, 0, 453, 23381 kbps
./Netflix_Screen_Capture\2021-03-21_15-30-42.848.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 642886882, 649155466,251.268 , 236.654, 23.976, 0, 13063, 1, 0, 453, 24743 kbps
./Netflix_Screen_Capture\2021-03-21_15-30-52.799.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 632928007, 639196591,241.070 , 239.093, 23.976, 0, 13309, 1, 0, 462, 24394 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-02.806.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 621900273, 628168857,246.854 , 240.722, 23.976, 0, 13552, 1, 0, 462, 22999 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-12.833.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 600255153, 606523737,252.630 , 237.098, 23.976, 0, 13795, 1, 0, 501, 19878 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-22.930.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 598860221, 605128805,242.456 , 238.519, 23.976, 0, 14036, 1, 0, 501, 19863 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-32.824.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 572337288, 578605872,249.290 , 229.353, 23.976, 0, 14261, 1, 0, 501, 19624 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-42.810.jpeg,3840,2160, 100/100,192 , 17857,5876407 , 575945493, 581821900,239.091 , 227.829, 23.976, 0, 14503, 1, 0, 544, 20309 kbps
./Netflix_Screen_Capture\2021-03-21_15-31-52.816.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 579849055, 586117639,244.900 , 226.532, 23.976, 0, 14748, 1, 0, 544, 22695 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-02.813.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 570693540, 576962124,250.700 , 223.047, 23.976, 0, 14991, 1, 0, 549, 21542 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-12.776.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 581398330, 587666914,241.540 , 223.688, 23.976, 0, 15210, 1, 0, 549, 22342 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-22.817.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 612081797, 618350381,247.355 , 227.902, 23.976, 0, 15452, 1, 0, 549, 22950 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-32.833.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 638839472, 644716660,237.131 , 228.689, 23.976, 0, 15701, 1, 0, 591, 24251 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-42.806.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 636526685, 642795269,242.924 , 229.869, 23.976, 0, 15948, 1, 0, 591, 24057 kbps
./Netflix_Screen_Capture\2021-03-21_15-32-52.823.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 633662254, 639930838,248.744 , 228.165, 23.976, 0, 16193, 1, 0, 629,
./Netflix_Screen_Capture\2021-03-21_15-33-02.817.jpeg,3840,2160, 100/100,192 , 17857,5877188 , 640018012, 645895200,239.586 , 231.019, 23.976, 0, 16410, 1, 0, 629, 21307 kbps
./Netflix_Screen_Capture\2021-03-21_15-33-12.915.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 630008051, 636276635,245.377 , 229.319, 23.976, 0, 16651, 1, 0, 629,
./Netflix_Screen_Capture\2021-03-21_15-33-22.846.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 620068157, 626336741,251.204 , 238.258, 23.976, 0, 16901, 1, 0, 629, 19926 kbps
./Netflix_Screen_Capture\2021-03-21_15-33-32.808.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 604958347, 611226931,241.228 , 236.707, 23.976, 0, 17144, 1, 0, 629, 20768 kbps
./Netflix_Screen_Capture\2021-03-21_15-33-42.985.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 615242642, 621511226,247.005 , 237.787, 23.976, 0, 17388, 1, 0, 693, 24521 kbps
./Netflix_Screen_Capture\2021-03-21_15-33-52.821.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 617538807, 623807391,252.810 , 239.322, 23.976, 0, 17632, 1, 0, 705,
./Netflix_Screen_Capture\2021-03-21_15-34-03.024.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 596561657, 602830241,242.640 , 234.907, 23.976, 0, 17872, 1, 0, 721, 18841 kbps
./Netflix_Screen_Capture\2021-03-21_15-34-12.800.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 596632833, 602901417,249.486 , 234.304, 23.976, 0, 18097, 1, 0, 721, 19764 kbps
./Netflix_Screen_Capture\2021-03-21_15-34-22.785.jpeg,3840,2160, 100/100,192 , 17857,5876407 , 580957885, 586834292,239.280 , 232.898, 23.976, 0, 18344, 1, 0, 721,
./Netflix_Screen_Capture\2021-03-21_15-34-32.770.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 587626673, 593895257,245.138 , 238.031, 23.976, 0, 18587, 1, 0, 721, 20889 kbps
./Netflix_Screen_Capture\2021-03-21_15-34-42.784.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 569361965, 575630549,251.693 , 236.678, 23.976, 0, 18808, 1, 0, 721, 16598 kbps
./Netflix_Screen_Capture\2021-03-21_15-34-52.792.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 551584801, 557853385,241.513 , 241.012, 23.976, 0, 19049, 1, 0, 721, 16762 kbps
./Netflix_Screen_Capture\2021-03-21_15-35-02.793.jpeg,3840,2160, 100/100,192 , 17857,6268584 , 541915002, 548183586,247.328 , 238.678, 23.976, 0, 19297, 1, 0, 721, 14539 kbps
